Country (Name),State/Province,City,Latitude,Longitude
Romania,Alba,Alba Iulia,46.0687385,23.5704398
Romania,Alba,Albac,46.447786,22.9649845
Romania,Alba,Blaj,46.1741571,23.9224826
Romania,Alba,Fărău,46.3379675,24.0078593
Romania,Alba,Lopadea Nouă,46.290905,23.8190142
Romania,Alba,Cugir,45.8362888,23.3740955
Romania,Alba,Cîmpeni,46.363071,23.045945
Romania,Alba,Stremţ,46.2217171,23.6395043
Romania,Alba,Aiud,46.3108893,23.7188181
Romania,Alba,Abrud,46.2746751,23.0650287
Romania,Alba,Sebeş,45.9577309,23.5797925
Romania,Alba,Blandiana,45.9769441,23.38589
Romania,Alba,Zlatna,46.1113532,23.2247191
Romania,Alba,Lunca Mureşului,46.4280752,23.9097312
Romania,Alba,Rădeşti,46.2729365,23.7235506
Romania,Alba,Cenade,46.05872,24.0089171
Romania,Alba,Şugag,45.7756929,23.6269915
Romania,Alba,Lancram,45.9871823,23.5557007
Romania,Alba,Meteş,46.0973598,23.424221
Romania,Alba,Mihalţ,46.16005,23.7252731
Romania,Alba,Poiana Vadului,46.3956538,22.8832285
Romania,Alba,Mirăslău,46.3643618,23.7080214
Romania,Alba,Ciuruleasa,46.2557874,23.0338026
Romania,Alba,Sântimbru,46.1360753,23.6502973
Romania,Alba,Bucerdea Grânoasă,46.1928374,23.8395519
Romania,Alba,Horea,46.5020653,22.9500484
Romania,Alba,Cisteiu de Mureş,46.3774928,23.8130712
Romania,Alba,Cricău,46.1755773,23.5698624
Romania,Alba,Mănărade,46.1415823,23.9705507
Romania,Alba,Cergău Mare,46.0987226,23.9228248
Romania,Alba,Doştat,45.9708837,23.8427881
Romania,Alba,Vîrşi,55.32089,22.7173
Romania,Alba,Teiuş,46.2060789,23.6753302
Romania,Alba,CUGIR,45.8362888,23.3740955
Romania,Alba,Ocna Mureş,46.3814028,23.8577354
Romania,Alba,Bistra,46.3769228,23.1037288
Romania,Alba,Ighiu,46.1447556,23.5187599
Romania,Alba,Cergău,46.08724065,23.94503711
Romania,Alba,Unirea,46.4021876,23.811558
Romania,Alba,Mihoeşti,46.370427,23.0250249
Romania,Alba,Livezile,46.3472723,23.6477156
Romania,Alba,Sălciua de Sus,46.3936744,23.40244
Romania,Alba,Jidvei,46.2224475,24.1106119
Romania,Alba,Izvorul Ampoiului,46.1941961,23.1106551
Romania,Alba,Galda de Jos,46.1791936,23.6218337
Romania,Alba,CIMPENI,46.363071,23.045945
Romania,Alba,Scărişoara,46.4571581,22.8776176
Romania,Alba,Avram Iancu,46.3581643,22.8257225
Romania,Alba,Sâncel,46.200119,23.9457599
Romania,Alba,Vidra,46.3715363,22.8973653
Romania,Alba,Bucium,46.2640203,23.1790991
Romania,Alba,Pianu de Sus,45.8963176,23.4838633
Romania,Alba,Crăciunelu de Jos,46.1713394,23.8343694
Romania,Alba,Sîncel,46.200561,23.946436
Romania,Alba,AIUD,46.3108893,23.7188181
Romania,Alba,Roşia de Secaş,46.0569522,23.8886492
Romania,Alba,Şibot,45.9410607,23.3361763
Romania,Alba,Săsciori,45.8784938,23.5765045
Romania,Alba,Baia de Arieş,46.3802511,23.2812063
Romania,Alba,Vinţu de Jos,45.9944325,23.4855701
Romania,Alba,Almaşu Mare,46.0977068,23.1290743
Romania,Alba,Şona,46.2192568,24.0160474
Romania,Alba,Ocoliş,46.4787354,23.4660799
Romania,Alba,ABRUD,46.2746751,23.0650287
Romania,Alba,Daia Română,46.0070884,23.6681588
Romania,Alba,Ciugud,46.0460646,23.612864
Romania,Alba,ALBA IULIA,46.0687385,23.5704398
Romania,Alba,Câmpeni,46.3648431,23.0508775
Romania,Alba,Poşaga,46.4408159,23.4244644
Romania,Alba,Ponor,46.3351172,23.4024522
Romania,Alba,Vadu Moţilor,46.3950087,22.9667152
Romania,Alba,Bărăbanţ,46.0993043,23.584868
Romania,Alba,Cut,45.9397245,23.6671934
Romania,Alba,Noşlac,46.4042792,23.9328441
Romania,Alba,Mogoş,46.2755388,23.2803795
Romania,Alba,Sohodol,46.4711032,22.9484125
Romania,Alba,ZLATNA,46.1113532,23.2247191
Romania,Alba,Gârda de Sus,46.4554349,22.8285529
Romania,Alba,Ceru-Băcăinţi,45.9736942,23.271899
Romania,Alba,Fericet,46.4868248,22.9404544
Romania,Alba,Berghin,46.0763002,23.7393617
Romania,Alba,Rimetea,46.4531027,23.5676421
Romania,Alba,Cîlnic,45.887438,23.658723
Romania,Alba,Tiur,46.1600883,23.88927
Romania,Alba,OCNA MURES,46.3814028,23.8577354
Romania,Alba,Hopârta,46.3213371,23.8724447
Romania,Alba,Cetatea de Balta,46.2479378,24.172445
Romania,Alba,Oarda,46.032317,23.5679394
Romania,Alba,Sălciua de Jos,46.3985516,23.4212175
Romania,Alba,Ohaba,46.0705867,23.7894389
Romania,Alba,Ciumbrud,46.3080965,23.762224
Romania,Alba,Săliştea,45.9037806,23.4032364
Romania,Alba,Miceşti,46.1013257,23.5557314
Romania,Alba,Petreşti,45.9208326,23.5607939
Romania,Alba,Poşaga de Jos,46.4308885,23.4389112
Romania,Alba,Şpring,45.9745886,23.7773831
Romania,Alba,Roşia Montană,46.3062526,23.1309849
Romania,Alba,Răhău,45.9039451,23.6206531
Romania,Alba,Draşov,45.9375707,23.7425356
Romania,Alba,Lunca Bisericii,46.3673605,22.8786528
Romania,Alba,Valea Lungă,46.1259241,24.045406
Romania,Alba,Râmeţ,46.3142155,23.5281887
Romania,Alba,Gîrda de Sus,55.38831,23.16429
Romania,Alba,SEBES,45.9577309,23.5797925
Romania,Alba,STREMT,46.2217171,23.6395043
Romania,Alba,Întregalde,46.2376561,23.4116184
Romania,Alba,BLAJ,46.1741571,23.9224826
Romania,Alba,Lupşa,46.3687494,23.2060259
Romania,Alba,Vinerea,45.8860544,23.3530441
Romania,Alba,Arieşeni,46.4762447,22.7579046
Romania,Alba,Feneş,46.1043071,23.2951099
Romania,Alba,Uioara de Sus,46.3897996,23.8800787
Romania,Alba,Geomal,46.2614374,23.6219283
Romania,Alba,Valea Caselor,46.3983574,23.0336157
Romania,Alba,Şard,46.122287,23.532457
Romania,Alba,Geoagiu de Sus,46.2545291,23.5925746
Romania,Alba,Sebeşel,45.8876792,23.5656543
Romania,Alba,Colţeşti,46.4214978,23.5597917
Romania,Alba,Tău Bistra,45.683479,23.5855132
Romania,Alba,Cergau Mare ,46.0987226,23.9228248
Romania,Alba,Bobareşti,46.3416092,22.9865076
Romania,Alba,Brăzeşti,46.398486,23.3185118
Romania,Alba,Cheia,46.299791,23.4553428
Romania,Alba,Turdaş,46.3062032,23.9184091
Romania,Alba,Aiudul de Sus,46.3219084,23.6843653
Romania,Alba,Petrisat,46.1929826,23.9173475
Romania,Alba,Ungurei,46.0165893,23.8290325
Romania,Alba,Coşlariu,46.1578128,23.6882775
Romania,Alba,Şeuşa,46.0597111,23.6273924
Romania,Alba,Balomiru de Cîmp,45.941252,23.35787
Romania,Alba,Valea Mănăstirii,46.3033676,23.5099101
Romania,Alba,Ormeniş,46.3967342,23.7179435
Romania,Alba,Tăuni,46.1506829,24.1316394
Romania,Alba,Limba,46.0399937,23.5976894
Romania,Alba,Dobra,45.7691276,23.6421788
Romania,Alba,Vălişoara,46.3884675,23.5625669
Romania,Alba,Henig,46.1057602,23.7308893
Romania,Alba,Mescreac,46.2412085,23.7386977
Romania,Alba,Cib,46.0610801,23.1902345
Romania,Alba,Drâmbar,46.076592,23.6301388
Romania,Alba,Ghirbom,46.0347609,23.7232888
Romania,Alba,Reciu,45.8649687,23.673749
Romania,Alba,Lunca Tîrnavei,46.37808,22.94484
Romania,Alba,Oraş Teiuş,45.533718,-122.417392
Romania,Alba,Vingard,46.0131722,23.7469574
Romania,Alba,Tărtăria,45.9334267,23.4120734
Romania,Alba,Vale în Jos,46.349477,23.4355378
Romania,Alba,Vurpăr,46.0040301,23.472674
Romania,Alba,Mesentea,46.1933012,23.6038157
Romania,Alba,Pâclişa,46.0477383,23.5210847
Romania,Alba,Morăreşti,46.2226146,23.0239488
Romania,Alba,Lazuri,46.3634735,23.0235933
Romania,Alba,Oiejdea,46.1575643,23.6323137
Romania,Alba,Obreja,46.1742866,23.7640552
Romania,Alba,Mărtinie,45.7899923,23.5832396
Romania,Alba,Corna,46.2886687,23.1254222
Romania,Alba,Şilea,46.3269851,24.1139345
Romania,Alba,Bucerdea Vinoasa,46.163279,23.5290405
Romania,Alba,Ighiel,46.1468039,23.4796816
Romania,Alba,Odverem,46.2584466,23.8384435
Romania,Alba,Pianu de Jos,45.9358282,23.487285
Romania,Alba,Poiana Aiudului,46.3651854,23.6030655
Romania,Alba,Sânbenedic,46.3144597,24.0499438
Romania,Alba,Benic,46.2131188,23.5914271
Romania,Alba,Straja,46.0672345,23.6863009
Romania,Alba,Hăpria,46.0808212,23.6691322
Romania,Alba,Lancrăm,45.9871823,23.5557007
Romania,Alba,Loman,45.8577171,23.5531937
Romania,Alba,Pleşeşti,46.447423,22.9317324
Romania,Alba,Băgău,46.3104689,23.7939864
Romania,Alba,Laz,46.052257,23.417935
Romania,Alba,Valea Barnii,46.269744,23.3408647
Romania,Alba,Războieni-Cetate,46.4131051,23.8708991
Romania,Alba,Strungari,45.8578907,23.5011526
Romania,Alba,Ampoiţa,46.1176088,23.4501112
Romania,Alba,Valea Vinţului,46.0176378,23.4558766
Romania,Alba,Ţelna,46.1654534,23.4962266
Romania,Alba,Cetea,46.2377077,23.5851057
Romania,Alba,Teleac,46.0906125,23.6312166
Romania,Alba,Mătişeşti,46.5088872,22.9023014
Romania,Alba,Craciunelu de jos,46.1713394,23.8343694
Romania,Alba,MĂRTINIE,45.7899923,23.5832396
Romania,Alba,CÎMPENI,46.363071,23.045945
Romania,Alba,MUŞCA,46.3566626,23.1712354
Romania,Alba,BUCERDEA GRÂNOASĂ,46.1928374,23.8395519
Romania,Alba,Valea Mică,46.0793915,23.279207
Romania,Alba,ARIESENI,46.4762447,22.7579046
Romania,Alba,Pănade,46.2240292,23.9578693
Romania,Alba,MIRĂSLĂU,46.3643618,23.7080214
Romania,Alba,CÎLNIC,45.887438,23.658723
Romania,Alba,Cretesti,46.3579327,23.1058901
Romania,Alba,RADESTI,46.2729365,23.7235506
Romania,Alba,GALTIU,46.1429717,23.6662411
Romania,Alba,PETRISAT,46.1929826,23.9173475
Romania,Alba,OCOALE,46.5091092,22.8119493
Romania,Alba,GÎRDA DE SUS,55.38831,23.16429
Romania,Alba,Hodişeşti,46.3960515,23.0860431
Romania,Alba,Oraş Baia de Arieş,45.533718,-122.417392
Romania,Alba,Faţa Cristesei,46.4918858,22.7634854
Romania,Alba,STREMŢ,46.2217171,23.6395043
Romania,Alba,SĂSCIORI,45.8784938,23.5765045
Romania,Alba,Purcareti,45.8302979,23.4895601
Romania,Alba,DAIA ROMÂNĂ,46.0070884,23.6681588
Romania,Alba,MIHALŢ,46.16005,23.7252731
Romania,Alba,CRAIVA,46.1875949,23.5262161
Romania,Alba,Beţa,46.2567315,23.815076
Romania,Alba,Hodobana,46.5177204,22.7716208
Romania,Alba,LUNCA VESESTI,46.3780817,22.9448399
Romania,Alba,OCNA MUREŞ,46.3814028,23.8577354
Romania,Alba,Bucerdea Vinoasă,46.163279,23.5290405
Romania,Alba,LUPŞA,46.3687494,23.2060259
Romania,Alba,SEBEŞ,45.9577309,23.5797925
Romania,Alba,PETRESTI,45.9208326,23.5607939
Romania,Alba,Mogos,46.2755388,23.2803795
Romania,Alba,UNIREA,46.4021876,23.811558
Romania,Alba,ARŢI,45.7475673,23.5972439
Romania,Alba,FĂRĂU,46.3379675,24.0078593
Romania,Alba,BUCERDEA VINOASA,46.163279,23.5290405
Romania,Alba,RĂZBOIENI-CETATE,46.4131051,23.8708991
Romania,Alba,CISTEI,46.186616,23.7536369
Romania,Alba,CETEA,46.2377077,23.5851057
Romania,Alba,Teius,46.2060789,23.6753302
Romania,Alba,ŞARD,46.122287,23.532457
Romania,Alba,Costeşti,46.4859101,22.9066731
Romania,Alba,AMBRU,46.38333,23.28333
Romania,Alba,TEIUŞ,46.2060789,23.6753302
Romania,Alba,ALBAC,46.447786,22.9649845
Romania,Alba,GIRDA DE SUS,55.38831,23.16429
Romania,Alba,TONEA,45.8041438,23.5329906
Romania,Alba,Sebes,45.9577309,23.5797925
Romania,Alba,Măgina,46.341599,23.6545391
Romania,Alba,Coşlariu Nou,46.1724862,23.6775027
Romania,Alba,Văi,46.3467744,23.2072758
Romania,Alba,PETREŞTI,45.9208326,23.5607939
Romania,Alba,CIUGUD,46.0460646,23.612864
Romania,Alba,Presaca Ampoiului,46.0968101,23.3298682
Romania,Alba,Trâmpoiele,46.1478138,23.1507343
Romania,Alba,Valea Lupşii,46.38072,23.2275329
Romania,Alba,SCARISOARA,46.4571581,22.8776176
Romania,Alba,Dumbrava,46.4356569,23.7725715
Romania,Alba,Mănceşti,46.4926824,22.9571272
Romania,Alba,VINŢU DE JOS,45.9944325,23.4855701
Romania,Alba,Cimpeni,46.363071,23.045945
Romania,Alba,FAŢA CRISTESEI,46.4918858,22.7634854
Romania,Alba,CIB,46.0610801,23.1902345
Romania,Alba,Poţionci,46.4416031,22.9284002
Romania,Alba,SÎNTIMBRU,46.1267194,23.6321754
Romania,Alba,PLEŞEŞTI,46.447423,22.9317324
Romania,Alba,Petresti,45.9208326,23.5607939
Romania,Alba,Barabant,46.0993043,23.584868
Romania,Alba,SASCIORI,45.8784938,23.5765045
Romania,Alba,Tăuţi,46.0959678,23.4674665
Romania,Alba,Necrileşti,46.2098246,23.3658312
Romania,Alba,OCOLIS,46.4787354,23.4660799
Romania,Alba,DUMBRAVA,46.4356569,23.7725715
Romania,Alba,CIURULEASA,46.2557874,23.0338026
Romania,Alba,Ocna Mures,46.3814028,23.8577354
Romania,Alba,Lunca Târnavei,46.2180827,23.9843873
Romania,Alba,RĂCHITA,45.8753342,23.5170715
Romania,Alba,Poieni,46.34723,22.9104618
Romania,Alba,Biia,46.2308176,24.0048948
Romania,Alba,GALDA DE SUS,46.2229106,23.5639494
Romania,Alba,Mănăstire,46.3825412,23.1709981
Romania,Alba,Sânmiclăuş,46.2470561,24.0555185
Romania,Alba,AMPOIŢA,46.1176088,23.4501112
Romania,Alba,Gheţar,46.490659,22.81615
Romania,Alba,VINGARD,46.0131722,23.7469574
Romania,Alba,PIANU DE JOS,45.9358282,23.487285
Romania,Alba,ŢARINA,46.312992,23.1251841
Romania,Alba,PODURI-BRICESTI,46.4130161,22.9562834
Romania,Alba,POIENILE-MOGOŞ,46.2764469,23.2441276
Romania,Alba,CETATEA DE BALTA,46.2479378,24.172445
Romania,Alba,Căpâlna,45.8471737,23.6041167
Romania,Alba,MARTINIE,45.7899923,23.5832396
Romania,Alba,POTIONCI,46.4416031,22.9284002
Romania,Alba,SĂLCIUA DE SUS,46.3936744,23.40244
Romania,Alba,BUCIUM,46.2640203,23.1790991
Romania,Alba,Câlnic,45.8873438,23.658829
Romania,Alba,Galtiu,46.1429717,23.6662411
Romania,Alba,Căpâlna de Jos,46.2399974,24.113037
Romania,Alba,Craiva,46.1875949,23.5262161
Romania,Alba,Valea Negrilesii,46.2369706,23.2170593
Romania,Alba,ŞONA,46.2192568,24.0160474
Romania,Alba,Gârbova,45.8605152,23.723625
Romania,Alba,Feisa,46.2259584,24.1438498
Romania,Alba,Vintu de Jos,45.9944325,23.4855701
Romania,Alba,Gârda-Bărbuleşti,46.3292693,23.1174124
Romania,Alba,Bălcaciu,46.1912174,24.0613946
Romania,Alba,RIMETEA,46.4531027,23.5676421
Romania,Alba,Muşca,46.3566626,23.1712354
Romania,Alba,Creţeşti,46.3579327,23.1058901
Romania,Alba,Pănţeşti,46.4770705,22.7782378
Romania,Alba,Stâna de Mureş,46.4250403,23.9957848
Romania,Alba,Valea Bucurului,46.3220053,23.3704897
Romania,Alba,Poieniţa,46.0321861,23.456221
Romania,Alba,Izvoru Ampoiului,46.1447453,23.1759997
Romania,Alba,Poiana Ampoiului,46.0889254,23.3929117
Romania,Alba,Sfoarţea,46.5245662,22.8460004
Romania,Alba,Călene,45.8328362,23.4374639
Romania,Alba,Valea Poienii,46.2252053,23.1427118
Romania,Alba,Crăciunelu de Sus,46.1722328,24.1826333
Romania,Alba,Sâncrai,46.2937897,23.7508991
Romania,Alba,VALEA BISTRII,46.3800886,23.0685993
Romania,Alba,Galbena,46.4703614,22.7283606
Romania,Alba,LEORINT,46.2540145,23.7242648
Romania,Alba,DEALU LĂMĂŞOI,46.486103,22.9863903
Romania,Alba,Dumitra,46.0967229,23.6829494
Romania,Alba,Răchita,45.8753342,23.5170715
Romania,Alba,Ciuguzel,46.2833884,23.8587365
Romania,Alba,Ştefanca,46.3693273,23.1328514
Romania,Alba,Săgagea,46.486726,23.3144571
Romania,Alba,VALEA LUNGĂ,46.1259241,24.045406
Romania,Alba,Dealu Muntelui,46.3865525,23.1190918
Romania,Alba,Pătruşeşti,46.524233,22.9761217
Romania,Alba,Boteşti,46.1808969,23.1509005
Romania,Alba,MĂNĂRADE,46.1415823,23.9705507
Romania,Alba,Ocoale,46.5091092,22.8119493
Romania,Alba,Poduri-Briceşti,46.4130161,22.9562834
Romania,Alba,DAIA ROMANA,46.0070884,23.6681588
Romania,Alba,PANADE,46.2240292,23.9578693
Romania,Alba,Cistei,46.186616,23.7536369
Romania,Alba,Beldiu,46.2362945,23.7153735
Romania,Alba,Preluca,46.510233,22.9768088
Romania,Alba,Angheleşti,46.2455229,23.0980532
Romania,Alba,ASINIP,46.2977057,23.8889623
Romania,Alba,Tomuşeşti,46.4524003,23.0143212
Romania,Alba,Dealu Goieşti,46.3932443,22.9202615
Romania,Alba,OIEJDEA,46.1575643,23.6323137
Romania,Alba,MESENTEA,46.1933012,23.6038157
Romania,Alba,Târşa,46.3820208,22.797178
Romania,Alba,Doleşti,46.3689728,22.8395055
Romania,Alba,Nădăştia,46.0814674,23.1493333
Romania,Alba,Biharia,46.4283772,22.7692249
Romania,Alba,Cărpiniş,45.8316304,23.66114
Romania,Alba,Lunca,46.3742522,22.9099709
Romania,Alba,Galaţi,46.0902344,23.2934995
Romania,Alba,Vârtop,46.3241289,23.0922451
Romania,Alba,Fereşti,46.2415157,23.1060648
Romania,Alba,NOSLAC,46.4042792,23.9328441
Romania,Alba,Glod,46.0630335,23.1566605
Romania,Alba,SÎNCEL,46.200561,23.946436
Romania,Alba,Metes,46.0973598,23.424221
