Country,County,loc,lat,long
Romania,Alba,Garbova de Jos,error,error
Romania,Alba,Hoparta,error,error
Romania,Alba,Sancrai,error,error
Romania,Alba,Garbova,error,error
Romania,Alba,Drambar,error,error
Romania,Alba,Gambas,error,error
Romania,Alba,Sanmiclăuş,error,error
Romania,Alba,Căpalna,error,error
Romania,Alba,DaMBURENI,error,error
Romania,Alba,SaNMICLĂUŞ,error,error
Romania,Alba,TRaMPOIELE,error,error
Romania,Alba,CĂPaLNA DE JOS,error,error
Romania,Alba,Vilcan,error,error
Romania,Alba,CĂPaLNA,error,error
Romania,Alba,SaNCRAI,error,error
Romania,Alba,CaRŢULEŞTI,error,error
Romania,Alba,GaRBOVA,error,error
Romania,Alba,GaRBOVA DE JOS,error,error
Romania,Alba,VILCAN,error,error
Romania,Alba,Trimpoiele,error,error
Romania,Alba,HOPaRTA,error,error
Romania,Alba,GaRBOVA DE SUS,error,error
Romania,Alba,DaRLEŞTI,error,error
Romania,Alba,Girbova,error,error
Romania,Alba,DRaMBAR,error,error
Romania,Alba,PATRINGENI,error,error
Romania,Alba,STILNISOARA,error,error
Romania,Alba,Garboviţa,error,error
Romania,Alba,Sincrai,error,error
Romania,Alba,TATIRLAUA,error,error
Romania,Alba,Sinbenedic,error,error
Romania,Alba,BaRZOGANI,error,error
Romania,Alba,SINCRAI,error,error
Romania,Alba,BaRLEŞTI,error,error
Romania,Alba,Darleşti,error,error
Romania,Alba,DIRLESTI,error,error
Romania,Alba,CAPILNA DE JOS,error,error
Romania,Alba,GaMBAS,error,error
Romania,Alba,Dambureni,error,error
Romania,Alba,Birlesti,error,error
Romania,Alba,SaNBENEDIC,error,error
Romania,Alba,Barleşti,error,error
Romania,Alba,Căpalna de Jos,error,error
Romania,Alba,TRIMPOIELE,error,error
Romania,Alba,GIRBOVA,error,error
Romania,Alba,SINMICLAUS,error,error
Romania,Alba,Gimbas,error,error
Romania,Alba,TĂTaRLAUA,error,error
Romania,Alba,PATRaNGENI,error,error
Romania,Alba,Trampoiele,error,error
Romania,Alba,SINBENEDIC,error,error
Romania,Alba,Capilna,error,error
Romania,Alba,VaLCAN,error,error
Romania,Alba,DRIMBAR,error,error
Romania,Alba,GaRBOVIŢA,error,error
Romania,Alba,Carăşti,error,error
Romania,Alba,Santămarie,error,error
Romania,Alba,CAPILNA,error,error
Romania,Alba,Capilna de Jos,error,error
Romania,Alba,GIRBOVA DE JOS,error,error
Romania,Alba,Candeşti,error,error
Romania,Alba,CaNDEŞTI,error,error
Romania,Alba,VILCANEASA,error,error
Romania,Alba,Vartăneşti,error,error
Romania,Alba,BaRZANI,error,error
Romania,Alba,GIMBAS,error,error
Romania,Alba,VaRTĂNEŞTI,error,error
Romania,Alba,Garbova de Sus,error,error
Romania,Alba,VIRTANESTI,error,error
Romania,Alba,TRaNCEŞTI,error,error
Romania,Alba,Carţuleşti,error,error
Romania,Alba,Patrangeni,error,error
Romania,Alba,HOPIRTA,error,error
Romania,Alba,GIRBOVITA,error,error
Romania,Alba,Vilcaneasa,error,error
Romania,Alba,Tătarlaua,error,error
Romania,Alba,SINTAMARIE,error,error
Romania,Alba,Sintamarie,error,error
Romania,Alba,Girbova de Jos,error,error
Romania,Alba,Girbova de Sus,error,error
Romania,Alba,Zanzeşti,error,error
Romania,Alba,Barzani,error,error
Romania,Alba,Drimbar,error,error
Romania,Alba,Valceşti,error,error
Romania,Alba,Sanbenedic,error,error
Romania,Alba,Valcăneasa,error,error
Romania,Alba,Dirlesti,error,error
Romania,Alba,Fantanele,error,error
Romania,Alba,Valcan,error,error
Romania,Alba,Hopirta,error,error
Romania,Alba,Patringeni,error,error
Romania,Alba,DaMBURENI,error,error
Romania,Alba,Barzogani,error,error
Romania,Alba,Toloceşti,error,error
